game_name,game_image_url,release_world,main_story,main_extra,completionist,Platform
1979 Revolution: Black Friday,"https://howlongtobeat.com/games/36527_1979_Revolution_Black_Friday.jpg ",2016,2.1,2.84,5.88,
Alan Wake II,"https://howlongtobeat.com/games/101237_Alan_Wake_2.jpg ",2023,19.03,25.64,30.88,"PC, PlayStation 5"
Alien: Isolation,"https://howlongtobeat.com/games/Alien_Isolation.jpg ",2014,18.4,22.53,34.04,
Alpha Protocol,"https://howlongtobeat.com/games/401_Alpha_Protocol.jpg ",2010,13.03,17.41,25.93,
Amenti,"https://howlongtobeat.com/games/161927_Amenti.jpg ",2025,0.59,0,1.52,PC
Anonymous Hacker Simulator,"https://howlongtobeat.com/games/147840_Anonymous_Hacker_Simulator.jpg ",2024,7,9.4,0,PC
Anthem,"https://howlongtobeat.com/games/46387_Anthem.jpg ",2019,14.14,27.89,55.96,"PC, PlayStation 4"
A Plague Tale: Innocence,"https://howlongtobeat.com/games/65080_A_Plague_Tale_Innocence.jpeg ",2019,10.89,12.59,15.9,
ArcRunner,"https://howlongtobeat.com/games/127690_ArcRunner.jpg ",2023,3.49,0,0,"PC, PlayStation 4, PlayStation 5"
Arise: A Simple Story,"https://howlongtobeat.com/games/70900_Arise_A_Simple_Story.jpg ",2019,4.11,4.62,7.03,
ATOM RPG: Trudograd,"https://howlongtobeat.com/games/78978_ATOM_RPG_Trudograd.jpg ",2021,17.59,29.58,89.29,
Baldur's Gate 3,"https://howlongtobeat.com/games/68033_Baldurs_Gate_3.jpg ",2023,69.38,113.56,168.21,
Batman: Arkham Knight,"https://howlongtobeat.com/games/Batman_Arkham_Knight_Cover_Art.jpg ",2015,16.99,31.35,50.9,
Before Your Eyes,"https://howlongtobeat.com/games/90830_Before_Your_Eyes.jpg ",2021,1.68,1.98,3.32,
Blood West,"https://howlongtobeat.com/games/103900_Blood_West.jpg ",2022,13,22.01,32.9,
BPM: Bullets Per Minute,"https://howlongtobeat.com/games/77759_BPM_Bullets_Per_Minute.jpg ",2020,3.47,10.21,39.21,
Call of Duty: Modern Warfare 3,"https://howlongtobeat.com/games/Call_of_Duty_Modern_Warfare_3_box_art.png ",2011,6.14,10.1,38.4,
Card City Nights,"https://howlongtobeat.com/games/CardCityNights.jpg ",2014,10.34,11.87,14.39,
Caribbean Legend,"https://howlongtobeat.com/games/156816_Caribbean_Legend.jpg ",2024,0,0,0,PC
CARRIBEAN LEGENDS,,,0,,,
Chernobylite Enhanced Edition,"https://howlongtobeat.com/games/66581_Chernobylite.jpg ",2021,14.66,20.17,23.82,
Control,"https://howlongtobeat.com/games/57507_Control.jpg ",2019,11.69,19.13,28.6,
Corsairs Legacy,,,0,,,
Cruelty Squad,"https://howlongtobeat.com/games/89506_Cruelty_Squad.jpg ",2021,6.23,13.21,24.02,PC
Deadlink,"https://howlongtobeat.com/games/115034_Deadlink.jpg ",2022,8.3,13.67,22.52,
Dead Space + remake,"https://howlongtobeat.com/games/95927_Dead_Space.jpg ",2023,12.07,15.98,29.54,"PC, PlayStation 5"
Devil May Cry,"https://howlongtobeat.com/games/2496_Devil_May_Cry.png ",2001,6.22,8.42,17.21,PlayStation 2
Diablo IV,"https://howlongtobeat.com/games/71960_Diablo_IV.jpg ",2023,25.79,47.99,177.27,"PC, PlayStation 4, PlayStation 5"
Disco Elysium,"https://howlongtobeat.com/games/57335_Disco_Elysium.jpg ",2019,23.66,33,46.59,
Dispatch,"https://howlongtobeat.com/games/160618_Dispatch.jpg ",2025,,0,0,PC
Dredge,"https://howlongtobeat.com/games/94128_Dredge.jpg ",2023,9.37,12.47,18.92,"PC, PlayStation 4, PlayStation 5"
Dying Light (кооперативные хоррор-игры),"https://howlongtobeat.com/games/256px-Dying_Light_cover.jpg ",2015,17.98,36.01,63.04,
ECHO,"https://howlongtobeat.com/games/49192_ECHO.jpg ",2017,7.48,9.77,17.9,
Enclave,"https://howlongtobeat.com/games/3114_Enclave.jpg ",2002,8.24,12.1,15.67,"PC, PlayStation 4, PlayStation 5"
En Garde!,"https://howlongtobeat.com/games/129877_En_Garde.jpg ",2023,3.88,5.25,12.57,PC
Eternal Threads,"https://howlongtobeat.com/games/107312_Eternal_Threads.jpg ",2022,7.5,8.35,9.57,
Event[0],"https://howlongtobeat.com/games/39950_Event[0].jpg ",2016,2.53,3.23,5.34,
Evergarden,"https://howlongtobeat.com/games/60133_Evergarden.jpg ",2018,7.69,9.16,11.93,PC
E.Y.E: Divine Cybermancy,"https://howlongtobeat.com/games/250px-EyeDivinecybermancy.jpg ",2011,11.19,22.26,48.64,
Feist,"https://howlongtobeat.com/games/Feist_header.jpg ",2015,2.61,3.22,5.13,
[FitGirl Repack](https://fitgirl-repack.com/),,,,,,
Gamedec - Definitive Edition,"https://howlongtobeat.com/games/70865_Gamedec.jpg ",2021,10.53,14.61,18.89,
