name	img	year	genres	rating	length	type	
Семь самураев	https://kinopoiskapiunofficial.tech/images/posters/kp/332.jpg	1954	боевик, драма	8.2	03:27	Фильм			
Телохранитель	https://kinopoiskapiunofficial.tech/images/posters/kp/445.jpg	1961	боевик, драма, криминал, триллер	8	01:50	Фильм			
Крестный отец	https://kinopoiskapiunofficial.tech/images/posters/kp/325.jpg	1972	драма, криминал	8.7	02:55	Фильм			
Выбирайте выражения	https://kinopoiskapiunofficial.tech/images/posters/kp/395130.jpg	1977	комедия	8.1	00:30	Сериал			
Там, на неведомых дорожках...	https://kinopoiskapiunofficial.tech/images/posters/kp/42201.jpg	1982	семейный, фэнтези	8.4	01:09	Фильм			
Акира	https://kinopoiskapiunofficial.tech/images/posters/kp/8224.jpg	1987	аниме, боевик, детектив, мультфильм, триллер, фантастика	7.8	02:04	Мульт			
Твин Пикс	https://kinopoiskapiunofficial.tech/images/posters/kp/84358.jpg	1990	детектив, драма, криминал, триллер, фантастика	8.4	00:47	Сериал			
Манускрипт ниндзя	https://kinopoiskapiunofficial.tech/images/posters/kp/8233.jpg	1993	аниме, боевик, мультфильм, фэнтези	7.9	01:31	Мульт			
Плохие парни	https://kinopoiskapiunofficial.tech/images/posters/kp/3908.jpg	1995	боевик, комедия, криминал	7.7	01:59	Фильм			
12 обезьян	https://kinopoiskapiunofficial.tech/images/posters/kp/502.jpg	1995	детектив, триллер, фантастика	7.8	02:09	Фильм			
Схватка	https://kinopoiskapiunofficial.tech/images/posters/kp/571.jpg	1995	боевик, драма, криминал	8	02:51	Фильм			
Адвокат дьявола	https://kinopoiskapiunofficial.tech/images/posters/kp/3797.jpg	1997	детектив, драма, триллер, фэнтези	8.2	02:24	Фильм			
Бэтмен будущего	https://kinopoiskapiunofficial.tech/images/posters/kp/94679.jpg	1998	боевик, детектив, драма, криминал, мультфильм, приключения, триллер, фантастика	7.4	00:22	Мульт-сериал			
Ван-Пис	https://kinopoiskapiunofficial.tech/images/posters/kp/382731.jpg	1999	аниме, боевик, мультфильм, приключения, фэнтези	8.4	00:22	Аниме			
Сопрано	https://kinopoiskapiunofficial.tech/images/posters/kp/79848.jpg	1999	драма, криминал	8.8	00:55	Сериал			
Большой куш	https://kinopoiskapiunofficial.tech/images/posters/kp/526.jpg	2000	боевик, комедия, криминал	8.6	01:44	Фильм			
Убойный футбол	https://kinopoiskapiunofficial.tech/images/posters/kp/833.jpg	2001	боевик, комедия, спорт	7	01:25	Фильм			
Прослушка	https://kinopoiskapiunofficial.tech/images/posters/kp/402955.jpg	2002	драма, криминал, триллер	8.5	01:00	Сериал			
Стрипперелла	https://kinopoiskapiunofficial.tech/images/posters/kp/178718.jpg	2003	боевик, комедия, криминал, мультфильм	5.6	00:22	Мульт-сериал			
Манускрипт ниндзя: Новая глава	https://kinopoiskapiunofficial.tech/images/posters/kp/229886.jpg	2003	аниме, боевик, мультфильм, фэнтези	6.8	00:24	Аниме-сериал			
Части тела	https://kinopoiskapiunofficial.tech/images/posters/kp/161194.jpg	2003	драма	7.8	00:43	Сериал			
Олдбой	https://kinopoiskapiunofficial.tech/images/posters/kp/75871.jpg	2003	детектив, драма, криминал, триллер	8.1	02:00	Фильм			
Последний самурай	https://kinopoiskapiunofficial.tech/images/posters/kp/6764.jpg	2003	боевик, драма	8.1	02:34	Фильм			
Остаться в живых	https://kinopoiskapiunofficial.tech/images/posters/kp/104122.jpg	2004	детектив, драма, приключения, триллер, фантастика, фэнтези	8.1	00:43	Сериал			
Вечное сияние чистого разума	https://kinopoiskapiunofficial.tech/images/posters/kp/5492.jpg	2004	драма, мелодрама, фантастика	8	01:48	Фильм			
Побег	https://kinopoiskapiunofficial.tech/images/posters/kp/258048.jpg	2005	боевик, детектив, драма, криминал, триллер	8.4	00:43	Сериал			
Рим	https://kinopoiskapiunofficial.tech/images/posters/kp/257386.jpg	2005	боевик, военный, драма, история, мелодрама	8.4	00:55	Сериал			
Город грехов	https://kinopoiskapiunofficial.tech/images/posters/kp/77443.jpg	2005	боевик, детектив, криминал, триллер	7.9	02:04	Фильм			
Живой	https://kinopoiskapiunofficial.tech/images/posters/kp/256503.jpg	2006	военный, детектив, драма	7.1	01:38	Фильм			
Не пойман – не вор	https://kinopoiskapiunofficial.tech/images/posters/kp/103785.jpg	2006	детектив, драма, криминал, триллер	7.8	02:09	Фильм			
Престиж	https://kinopoiskapiunofficial.tech/images/posters/kp/195334.jpg	2006	детектив, драма, триллер, фантастика	8.5	02:10	Фильм			
