name	img	year	Жанры	rating	Длительность	type
«V» значит Вендетта	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/86208.jpg alt="img" width="100" />	2006	боевик, драма, триллер, фантастика	7.8	02:12	Фильм
12 обезьян	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/502.jpg alt="img" width="100" />	1995	детектив, триллер, фантастика	7.8	02:09	Фильм
13-й район: Ультиматум	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/418794.jpg alt="img" width="100" />	2009	боевик, криминал, триллер	6.6	01:41	Фильм
1922	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1008798.jpg alt="img" width="100" />	2017	драма, криминал, триллер, ужасы	6.3	01:42	Фильм
Агент Ева	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1189368.jpg alt="img" width="100" />	2019	боевик, драма, триллер	6.3	01:36	Фильм
Ад Данте	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/253223.jpg alt="img" width="100" />	2007	комедия, мультфильм	6.3	01:28	Мульт
Ад Данте: Анимированный эпос	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/463031.jpg alt="img" width="100" />	2010	аниме, боевик, мультфильм, ужасы, фэнтези	7	01:24	Мульт
Адвокат дьявола	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/3797.jpg alt="img" width="100" />	1997	детектив, драма, триллер, фэнтези	8.2	02:24	Фильм
Адский рай	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4786341.jpg alt="img" width="100" />	2023	аниме, боевик, мультфильм, приключения, фэнтези	7.9	00:24	Аниме-сериал
Акира	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/8224.jpg alt="img" width="100" />	1987	аниме, боевик, детектив, мультфильм, триллер, фантастика	7.8	02:04	Мульт
Апгрейд	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1009784.jpg alt="img" width="100" />	2018	боевик, детектив, криминал, триллер, фантастика	7.6	01:40	Фильм
Апостол	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1007626.jpg alt="img" width="100" />	2018	драма, триллер, ужасы, фэнтези	6.2	02:10	Фильм
Аргайл: Супершпион	![\|100](https://kinopoiskapiunofficial.tech/images/posters/kp/4507204.jpg)	2024	боевик, комедия	5.8	02:19	Фильм
Ассасин: Битва миров	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1236082.jpg alt="img" width="100" />	2021	боевик, фэнтези	6.1	02:10	Фильм
Астрал	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/495892.jpg alt="img" width="100" />	2010	ужасы	6.8	01:43	Фильм
Банши	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/696973.jpg alt="img" width="100" />	2013	боевик, детектив, драма, криминал, триллер	8.1	00:43	Сериал
Бар «На грудь»	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1182694.jpg alt="img" width="100" />	2018	комедия	7.4	00:10	Сериал
Башня Бога	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1363114.jpg alt="img" width="100" />	2020	аниме, детектив, мультфильм, приключения, фэнтези	7.5	00:25	Аниме-сериал
[Бегущий по лезвию: Чёрный лотос](https://animego.online/536-beguschij-po-lezviju-chernyj-lotos-c1.html)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1212708.jpg alt="img" width="100" />	2021	аниме, боевик, детектив, мультфильм, фантастика	5.9	00:23	Мульт-сериал
Без цензуры	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/278229.jpg alt="img" width="100" />	2007	военный, криминал, триллер	6.1	01:30	Фильм
Безбрачная неделя	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/195384.jpg alt="img" width="100" />	2011	комедия	6.4	01:45	Фильм
Бесконечный Дендрограм	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1331708.jpg alt="img" width="100" />	2020	аниме, мультфильм, приключения, фэнтези	6.1	00:24	Аниме-сериал
Бесславные ублюдки	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/9691.jpg alt="img" width="100" />	2009	боевик, военный, драма, комедия	8	02:33	Фильм
Большой куш	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/526.jpg alt="img" width="100" />	2000	боевик, комедия, криминал	8.6	01:44	Фильм
Бэтмен будущего	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/94679.jpg alt="img" width="100" />	1998	боевик, детектив, драма, криминал, мультфильм, приключения, триллер, фантастика	7.4	00:22	Мульт-сериал
Ван-Пис	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/382731.jpg alt="img" width="100" />	1999	аниме, боевик, мультфильм, приключения, фэнтези	8.4	00:22	Аниме
Великий уравнитель	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/196707.jpg alt="img" width="100" />	2014	боевик, криминал, триллер	7.1	02:12	Фильм
Вечное сияние чистого разума	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5492.jpg alt="img" width="100" />	2004	драма, мелодрама, фантастика	8	01:48	Фильм
Вечные	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1198811.jpg alt="img" width="100" />	2021	боевик, приключения, фантастика, фэнтези	6.4	02:36	Фильм
Вечный ты	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5580879.jpg alt="img" width="100" />	2024	документальный, драма	null	01:27	Фильм
Взрослая неожиданность	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/87841.jpg alt="img" width="100" />	2008	комедия	6.6	01:39	Фильм
Взрослые дети развода	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/461962.jpg alt="img" width="100" />	2013	комедия	5.6	01:28	Фильм
Виви: Песнь флюоритового глаза	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4420238.jpg alt="img" width="100" />	2021	аниме, боевик, мультфильм, фантастика	7.7	00:24	Аниме-сериал
Выбирайте выражения	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/395130.jpg alt="img" width="100" />	1977	комедия	8.1	00:30	Сериал
Выдающиеся звери	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1290944.jpg alt="img" width="100" />	2019	аниме, драма, мелодрама, мультфильм, фэнтези	7.5	00:22	Аниме-сериал
Выстрел в пустоту	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/910353.jpg alt="img" width="100" />	2015	драма, криминал, триллер	7.7	02:00	Фильм
Главная улица	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/449844.jpg alt="img" width="100" />	2010	драма	5.4	01:34	Фильм
Голубоглазый самурай	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4992678.jpg alt="img" width="100" />	2023	боевик, драма, история, мультфильм, приключения, триллер	8.3	00:45	Мульт-сериал
Город грехов	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/77443.jpg alt="img" width="100" />	2005	боевик, детектив, криминал, триллер	7.9	02:04	Фильм
Город грехов 2: Женщина, ради которой стоит убивать	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/103391.jpg alt="img" width="100" />	2014	боевик, криминал, триллер	6.9	01:34	Фильм
Грань будущего	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/505851.jpg alt="img" width="100" />	2014	боевик, приключения, фантастика	7.9	01:53	Фильм
Джобс: Империя соблазна	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/677798.jpg alt="img" width="100" />	2013	биография, драма	6.5	02:02	Фильм
Джон Вуд. Последняя кровь	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1391142.jpg alt="img" width="100" />	2021	боевик, фантастика	5.2	01:24	Фильм
Дитя робота	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1067645.jpg alt="img" width="100" />	2018	детектив, драма, триллер, фантастика	6.7	01:53	Фильм
Доктор Хэрроу (продолжение вечности)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1112955.jpg alt="img" width="100" />	2018	детектив, драма, криминал, триллер	7.5	01:00	Сериал
Дорогуша	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/6303281.jpg alt="img" width="100" />	2024	драма, комедия	6.7	00:42	Сериал
Дуглас отменяется	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5708693.jpg alt="img" width="100" />	2024	драма, комедия	7.2	00:40	Сериал
Духless 2	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/765103.jpg alt="img" width="100" />	2015	драма	6.7	01:47	Фильм
Дюнкерк	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/931677.jpg alt="img" width="100" />	2017	военный, драма, история	7.3	01:46	Фильм
Живой	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/256503.jpg alt="img" width="100" />	2006	военный, детектив, драма	7.1	01:38	Фильм
Загрузка	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1127489.jpg alt="img" width="100" />	2020	детектив, комедия, фантастика	7.4	00:30	Сериал
Заклятье: Слуги Сатаны	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1046559.jpg alt="img" width="100" />	2017	ужасы	5.6	01:47	Фильм
Законопослушный гражданин	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/406408.jpg alt="img" width="100" />	2009	боевик, драма, криминал, триллер	8	01:48	Фильм
Зачарованная	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/106165.jpg alt="img" width="100" />	2007	комедия, мелодрама, мультфильм, мюзикл, семейный, фэнтези	7	01:43	Мульт
Земля будущего	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/596643.jpg alt="img" width="100" />	2015	приключения, семейный, фантастика	6.2	02:10	Фильм
Игра Джералда	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/874941.jpg alt="img" width="100" />	2017	драма, триллер	6.5	01:43	Фильм
Игрушки для взрослых	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/429363.jpg alt="img" width="100" />	2018	боевик, детектив, комедия, криминал, триллер, ужасы, фэнтези	6.1	01:31	Фильм
Из машины	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/197532.jpg alt="img" width="100" />	2014	драма, триллер, фантастика	7.1	01:48	Фильм
Исчезнувшая	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/692861.jpg alt="img" width="100" />	2014	детектив, драма, триллер	8	02:29	Фильм
Капитан Волконогов бежал	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1402927.jpg alt="img" width="100" />	2021	драма, триллер	7.7	02:06	Фильм
Капитан Лазерхоук: Blood Dragon Remix	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4475347.jpg alt="img" width="100" />	2023	боевик, драма, комедия, мультфильм, приключения, фантастика, фэнтези	7.2	00:25	Сериал
Кардинал теней<br>ВОСХОЖДЕНИЕ ГЕРОЕВ В ТЕНИ	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4901749.jpg alt="img" width="100" />	2022	аниме, боевик, мультфильм, приключения, фэнтези	7.4	00:23	Аниме-сериал
Кокаиновый барон	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/989978.jpg alt="img" width="100" />	2019	боевик, драма, комедия, криминал, триллер	6	01:40	Фильм
Колл-центр	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1108685.jpg alt="img" width="100" />	2020	драма, криминал, триллер	7.5	00:44	Сериал
Крестный отец	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/325.jpg alt="img" width="100" />	1972	драма, криминал	8.7	02:55	Фильм
Кризис Юнга	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1184250.jpg alt="img" width="100" />	2018	боевик, мультфильм, приключения, фэнтези	7.3	00:07	Мульт-сериал
Лакадэйзи	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1360099.jpg alt="img" width="100" />	2023	короткометражка, криминал, мультфильм, фэнтези	7.4	00:27	Мульт
Летим со мной	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/574233.jpg alt="img" width="100" />	2010	комедия	7.2	00:22	Сериал
